,mid_dim,batch_size,baseline,minimal_batch,minimal_time,improvement
0,128,4,3.7470221519470215,1,3.793764114379883,-1.2474429169993924
1,128,8,7.55850076675415,7,7.383334636688232,2.317471883265279
2,128,16,15.154480934143066,15,14.685440063476562,3.095063913470993
3,128,32,30.098092555999756,31,29.23942804336548,2.8528868101414324
4,128,64,60.46396493911743,63,58.36976766586304,3.4635460565033904
5,256,4,3.788125514984131,3,3.774392604827881,0.3625252146986352
6,256,8,7.5760722160339355,7,7.436549663543701,1.8416212057080188
7,256,16,15.154433250427246,15,14.670252799987793,3.1949756380747707
8,256,32,30.419623851776123,31,29.376232624053955,3.4299938513580503
9,256,64,60.86851358413696,63,58.56806039810181,3.779381244221283
10,512,4,3.8052916526794434,3,3.7994027137756348,0.15475657167202886
11,512,8,7.640540599822998,7,7.477879524230957,2.128921029433562
12,512,16,15.356826782226562,15,14.908957481384277,2.9164182626623942
13,512,32,30.762839317321777,31,29.70719337463379,3.431562125325606
14,512,64,61.439502239227295,62,59.16169881820679,3.7073923746182276
15,1024,4,3.836178779602051,3,3.89937162399292,-1.6472862194765725
16,1024,8,7.86128044128418,7,7.667720317840576,2.4621958838550797
17,1024,16,15.688610076904297,13,15.148770809173584,3.4409629985350167
18,1024,32,31.381916999816895,30,30.27043342590332,3.541796296000845
19,1024,64,62.80999183654785,63,60.591864585876465,3.531487882443417
20,2048,4,4.066193103790283,1,4.16102409362793,-2.332181168406641
21,2048,8,8.146214485168457,4,7.965826988220215,2.214372053137905
22,2048,16,16.2756085395813,8,15.850090980529785,2.6144494567848606
23,2048,32,32.676029205322266,28,31.58334493637085,3.3439934273698095
24,2048,64,65.24852514266968,62,62.95754909515381,3.51115376555488
